symbol,company,market_cap_cr,rank,cap_tier
513023,NAVA LIMITED,17264.02,390,Small
544321,Ventive Hospitality Limited,17258.99,391,Small
532210,CITY UNION BANK LTD.,17207.04,392,Small
532548,CENTURY PLYBOARDS (I) LTD.,17169.69,393,Small
500048,BEML LTD.,16943.38,394,Small
543463,Vedant Fashions Limited,16924.38,395,Small
544403,Aditya Birla Lifestyle Brands,16915.11,396,Small
543945,NETWEB TECHNOLOGIES INDIA LIMI,16709.39,397,Small
544174,TBO TEK LIMITED,16664.44,398,Small
543960,Concord Biotech Limited,16592.77,399,Small
544466,Aditya Infotech Limited,16512.49,400,Small
544443,TRAVEL FOOD SERVICES LIMITED,16495.06,401,Small
543238,UTI Asset Management Company L,16428.23,402,Small
532784,SOBHA,16406.54,403,Small
500252,LMW Limited,16312.50,404,Small
544283,ACME Solar Holdings Limited,16266.63,405,Small
541956,IRCON International Ltd,16191.09,406,Small
505714,GABRIEL INDIA LTD.,16167.58,407,Small
532181,GUJARAT MINERAL DEVELOPMENT CO,16122.57,408,Small
543276,Craftsman Automation Limited,16014.38,409,Small
531358,CHOICE INTERNATIONAL LTD.,15972.27,410,Small
522074,ELGI EQUIPMENTS LTD.,15909.95,411,Small
524816,NATCO PHARMA LTD.,15878.78,412,Small
532953,V-GUARD INDUSTRIES LTD.,15852.18,413,Small
543335,Aptus Value Housing Finance In,15833.18,414,Small
532756,CIE Automotive India Limited,15773.71,415,Small
543990,SIGNATUREGLOBAL (INDIA) LIMITE,15769.05,416,Small
542141,Techno Electric & Engineering,15738.63,417,Small
500238,WHIRLPOOL OF INDIA LTD.,15738.00,418,Small
523405,JM FINANCIAL LTD.,15704.79,419,Small
532734,GODAWARI POWER & ISPAT LTD.,15675.71,420,Small
544280,Afcons Infrastructure Limited,15616.87,421,Small
500710,AKZO NOBEL INDIA LIMITED,15607.75,422,Small
544203,Allied Blenders and Distillers,15522.56,423,Small
524742,CAPLIN POINT LABORATORIES LTD.,15499.13,424,Small
543428,Data Patterns (India) Limited,15268.50,425,Small
544311,International Gemmological Ins,15204.18,426,Small
544045,DOMS Industries Limited,15193.51,427,Small
500620,GREAT EASTERN SHIPPING CO.LTD.,15160.05,428,Small
532783,LT FOODS LTD.,15105.37,429,Small
500241,KIRLOSKAR BROTHERS LTD.,15092.88,430,Small
544350,Dr. Agarwal's Health Care Limi,15080.91,431,Small
532605,JBM AUTO LTD.,15065.37,432,Small
543981,R R KABEL LIMITED,15033.40,433,Small
532726,GALLANTT ISPAT LIMITED,14943.12,434,Small
500106,IFCI LTD.,14856.06,435,Small
544286,NIVA BUPA HEALTH INSURANCE COM,14769.67,436,Small
542726,IndiaMART InterMESH Limited,14757.15,437,Small
543530,Paradeep Phosphates Limited,14728.40,438,Small
500878,CEAT LTD.,14685.81,439,Small
521064,TRIDENT LTD.,14666.16,440,Small
543573,Syrma SGS Technology Limited,14512.79,441,Small
543524,Rainbow Children's Medicare Li,14494.07,442,Small
538835,INTELLECT DESIGN ARENA LIMITED,14485.60,443,Small
541557,Fine Organic Industries Limite,14433.81,444,Small
500043,BATA INDIA LTD.,14409.65,445,Small
543334,Nuvoco Vistas Corporation Limi,14409.37,446,Small
503310,Swan Corp Limited,14373.52,447,Small
533293,KIRLOSKAR OIL ENGINES LTD.,14319.85,448,Small
540073,BLS International Services Ltd,14271.30,449,Small
524208,AARTI INDUSTRIES LTD.,14252.25,450,Small
544408,Leela Palaces Hotels & Resorts,14179.89,451,Small
544608,Emmvee Photovoltaic Power Limi,14167.05,452,Small
500405,SUPREME PETROCHEM LTD.,14131.70,453,Small
526612,BLUE DART EXPRESS LTD.,14036.27,454,Small
531335,ZYDUS WELLNESS LTD.,14010.62,455,Small
500249,KSB LIMITED,13962.97,456,Small
506590,PCBL Chemical Limited,13943.93,457,Small
533272,JUPITER WAGONS LIMITED,13826.91,458,Small
509496,Cemindia Projects Limited,13794.89,459,Small
533339,ZEN TECHNOLOGIES LTD.,13549.35,460,Small
540750,Indian Energy Exchange Limited,13370.06,461,Small
544537,Jain Resource Recycling Limite,13342.52,462,Small
540743,Godrej Agrovet Limited,13316.11,463,Small
501425,The Bombay Burmah Trading Corp,13254.34,464,Small
532175,CYIENT LIMITED,13217.84,465,Small
544172,Indegene Limited,13214.30,466,Small
541988,AAVAS Financiers Limited,13171.56,467,Small
538962,Minda Corporation Limited,13120.10,468,Small
544405,BELRISE INDUSTRIES LIMITED,13106.72,469,Small
544012,Cello World Limited,13099.16,470,Small
532627,JAIPRAKASH POWER VENTURES LIMI,13061.01,471,Small
532928,TRANSFORMERS AND RECTIFIERS (I,13005.86,472,Small
540900,Newgen Software Technologies L,12934.59,473,Small
543275,Anupam Rasayan India Limited,12912.65,474,Small
532482,GRANULES INDIA LTD.,12802.41,475,Small
543259,Home First Finance Company Ind,12797.70,476,Small
533282,GRAVITA INDIA LTD.,12784.91,477,Small
539957,Mahanagar Gas Limited,12768.83,478,Small
517146,USHA MARTIN LTD.,12707.77,479,Small
532832,EMBASSY DEVELOPMENTS LIMITED,12701.47,480,Small
543413,Tega Industries Limited,12697.25,481,Small
541233,Lemon Tree Hotels Limited,12684.46,482,Small
502986,VARDHMAN TEXTILES LTD.,12679.56,483,Small
500294,NCC LIMITED,12649.94,484,Small
500144,FINOLEX CABLES LTD.,12635.55,485,Small
532762,ACTION CONSTRUCTION EQUIPMENT,12619.38,486,Small
544572,SKF INDIA (INDUSTRIAL) LIMITED,12609.77,487,Small
505700,ELECON ENGINEERING CO.LTD.,12486.16,488,Small
